;;;;;;;;;;;;;
;住基ネットにおける人口【参考値】（北海道総合政策部地域行政局市町村課調）;;;;;;;;;;;;
;"・このデータは住民基本台帳ネットワークシステム上の平成26年6月30日現在の入力状況であり、各市町村が公表する住民基本台帳人口と一致しない場合があります。
・出生時に性別が不明などの理由で、住民基本台帳に記載がない場合、不明に掲載されています。";;;;;;;;;;;;
;;;;;;;;;;;;;平成26年6月30日現在
;市区町村;人　口（人）;;;;;;;;;;;
;;総　数;;;男;;;女;;;不明;;
;;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計
;　　北見市;122 192;334;122 526;58 078;169;58 247;64 114;165;64 279;0;0;0
;　　網走市;37 681;194;37 875;18 527;40;18 567;19 154;154;19 308;0;0;0
;　　紋別市;23 508;335;23 843;11 128;35;11 163;12 380;300;12 680;0;0;0
;　町村計;113 374;830;114 204;54 803;155;54 958;58 571;675;59 246;0;0;0
;　　美幌町;20 941;45;20 986;10 111;22;10 133;10 830;23;10 853;0;0;0
;　　津別町;5 295;15;5 310;2 563;5;2 568;2 732;10;2 742;0;0;0
;　　斜里町;12 152;69;12 221;5 996;6;6 002;6 156;63;6 219;0;0;0
;　　清里町;4 378;4;4 382;2 143;2;2 145;2 235;2;2 237;0;0;0
;　　小清水町;5 228;35;5 263;2 492;1;2 493;2 736;34;2 770;0;0;0
;　　訓子府町;5 331;24;5 355;2 535;7;2 542;2 796;17;2 813;0;0;0
;　　置戸町;3 147;3;3 150;1 465;1;1 466;1 682;2;1 684;0;0;0
;　　佐呂間町;5 524;148;5 672;2 637;9;2 646;2 887;139;3 026;0;0;0
;　　遠軽町;21 460;62;21 522;10 412;8;10 420;11 048;54;11 102;0;0;0
;　　湧別町;9 486;126;9 612;4 552;5;4 557;4 934;121;5 055;0;0;0
;　　滝上町;2 865;14;2 879;1 362;1;1 363;1 503;13;1 516;0;0;0
;　　興部町;4 050;68;4 118;1 985;17;2 002;2 065;51;2 116;0;0;0
;　　西興部村;1 151;4;1 155;563;1;564;588;3;591;0;0;0
;　　雄武町;4 613;203;4 816;2 219;69;2 288;2 394;134;2 528;0;0;0
;　　大空町;7 753;10;7 763;3 768;1;3 769;3 985;9;3 994;0;0;0
;;;;;;;;;;;;;
;十勝計;347 956;995;348 951;166 858;364;167 222;181 098;631;181 729;0;0;0
;　　帯広市;168 332;486;168 818;80 492;217;80 709;87 840;269;88 109;0;0;0
;　町村計;179 624;509;180 133;86 366;147;86 513;93 258;362;93 620;0;0;0
;　　音更町;45 345;52;45 397;21 519;18;21 537;23 826;34;23 860;0;0;0
;　　士幌町;6 351;47;6 398;3 052;25;3 077;3 299;22;3 321;0;0;0
;　　上士幌町;4 940;32;4 972;2 409;7;2 416;2 531;25;2 556;0;0;0
;　　鹿追町;5 595;40;5 635;2 761;7;2 768;2 834;33;2 867;0;0;0
;　　新得町;6 379;16;6 395;3 115;9;3 124;3 264;7;3 271;0;0;0
;　　清水町;9 890;37;9 927;4 839;5;4 844;5 051;32;5 083;0;0;0
;　　芽室町;19 220;27;19 247;9 189;8;9 197;10 031;19;10 050;0;0;0
;　　中札内村;4 072;17;4 089;1 979;0;1 979;2 093;17;2 110;0;0;0
;　　更別村;3 331;9;3 340;1 647;4;1 651;1 684;5;1 689;0;0;0
;　　大樹町;5 842;44;5 886;2 855;14;2 869;2 987;30;3 017;0;0;0
;　　広尾町;7 369;32;7 401;3 529;3;3 532;3 840;29;3 869;0;0;0
;　　幕別町;27 601;66;27 667;13 203;18;13 221;14 398;48;14 446;0;0;0
;　　池田町;7 274;10;7 284;3 412;4;3 416;3 862;6;3 868;0;0;0
;　　豊頃町;3 368;18;3 386;1 625;2;1 627;1 743;16;1 759;0;0;0
;　　本別町;7 776;21;7 797;3 836;10;3 846;3 940;11;3 951;0;0;0
;　　足寄町;7 400;15;7 415;3 577;8;3 585;3 823;7;3 830;0;0;0
;　　陸別町;2 583;15;2 598;1 292;4;1 296;1 291;11;1 302;0;0;0
;　　浦幌町;5 288;11;5 299;2 527;1;2 528;2 761;10;2 771;0;0;0
;;;;;;;;;;;;;
;釧路計;242 370;633;243 003;114 858;187;115 045;127 512;446;127 958;0;0;0
;　　釧路市;178 517;412;178 929;84 199;139;84 338;94 318;273;94 591;0;0;0
;　町村計;63 853;221;64 074;30 659;48;30 707;33 194;173;33 367;0;0;0
;　　釧路町;20 347;18;20 365;9 754;7;9 761;10 593;11;10 604;0;0;0
;　　厚岸町;10 123;82;10 205;4 853;14;4 867;5 270;68;5 338;0;0;0
;　　浜中町;6 255;36;6 291;3 050;7;3 057;3 205;29;3 234;0;0;0
;　　標茶町;7 997;36;8 033;3 867;7;3 874;4 130;29;4 159;0;0;0
;　　弟子屈町;7 880;21;7 901;3 749;7;3 756;4 131;14;4 145;0;0;0
;　　鶴居村;2 514;15;2 529;1 254;3;1 257;1 260;12;1 272;0;0;0
;　　白糠町;8 737;13;8 750;4 132;3;4 135;4 605;10;4 615;0;0;0
;;;;;;;;;;;;;
;根室計;78 852;592;79 444;38 566;174;38 740;40 286;418;40 704;0;0;0
;　　根室市;27 967;257;28 224;13 433;42;13 475;14 534;215;14 749;0;0;0
;　町村計;50 885;335;51 220;25 133;132;25 265;25 752;203;25 955;0;0;0
;　　別海町;15 649;209;15 858;7 855;101;7 956;7 794;108;7 902;0;0;0
;　　中標津町;24 106;56;24 162;11 801;18;11 819;12 305;38;12 343;0;0;0
;　　標津町;5 474;26;5 500;2 670;2;2 672;2 804;24;2 828;0;0;0
;　　羅臼町;5 656;44;5 700;2 807;11;2 818;2 849;33;2 882;0;0;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
